scheduler,display_scheduler,runs,status,sched_ext_state,current_scheduler,kernel_release,latency_max_us,latency_spikes_over_100us,hackbench_mean_seconds,sysbench_events_per_sec,stressng_bogo_ops_per_sec,notes,log_paths
baseline,baseline (6.19.10-1-cachyos),1,completed,disabled,none,6.19.10-1-cachyos,1625.00,2437.00,0.816,,6314.09,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/comparison-results/20260407_222304/logs/baseline_run1.log
scx_cosmos,scx_cosmos,1,completed,enabled,cosmos_1.1.0_gc505008f_x86_64_unknown_linux_gnu,6.19.10-1-cachyos,2778.00,10469.00,0.681,,5470.80,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/comparison-results/20260407_222304/logs/scx_cosmos_run1.log
scx_cake,scx_cake,1,completed,enabled,cake,6.19.10-1-cachyos,17843.00,10567.00,6.879,,6520.31,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/comparison-results/20260407_222304/logs/scx_cake_run1.log
scx_flow,scx_flow,1,completed,enabled,scx_flow_2.1.0_rc1_x86_64_unknown_linux_gnu,6.19.10-1-cachyos,1358.00,21.00,0.633,,6340.82,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/comparison-results/20260407_222304/logs/scx_flow_run1.log
scx_pandemonium,scx_pandemonium,1,completed,enabled,pandemonium,6.19.10-1-cachyos,145434.00,2513.00,3.949,,6402.61,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/comparison-results/20260407_222304/logs/scx_pandemonium_run1.log
