scheduler,display_scheduler,runs,status,sched_ext_state,current_scheduler,kernel_release,hard_rt_total_samples,hard_rt_overflows_over_20us,latency_max_us,latency_spikes_over_100us,hackbench_mean_seconds,sysbench_events_per_sec,stressng_bogo_ops_per_sec,notes,log_paths
baseline,baseline (7.0.3-1-cachyos),1,completed,disabled,none,7.0.3-1-cachyos,,822,542.00,,0.787,,6679.28,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/comparison-results/20260508_123751/logs/baseline_run1.log
scx_cosmos,scx_cosmos,1,completed,enabled,cosmos_1.1.0_gc505008f_x86_64_unknown_linux_gnu,7.0.3-1-cachyos,,619,579.00,,0.664,,6560.57,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/comparison-results/20260508_123751/logs/scx_cosmos_run1.log
scx_bpfland,scx_bpfland,1,completed,enabled,bpfland_1.1.0_gc505008f_x86_64_unknown_linux_gnu,7.0.3-1-cachyos,,589,447.00,,1.061,,6600.15,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/comparison-results/20260508_123751/logs/scx_bpfland_run1.log
scx_flow,scx_flow,1,completed,enabled,scx_flow_2.2.3_x86_64_unknown_linux_gnu,7.0.3-1-cachyos,,610,388.00,,0.675,,6624.46,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/comparison-results/20260508_123751/logs/scx_flow_run1.log
