scheduler,display_scheduler,kernel_release,overall_status,overall_note,mixed_p95_us,mixed_p99_us,mixed_max_us,rt_p95_us,rt_p99_us,rt_max_us,kernel_stalls,summary_path
scx_cosmos,scx_cosmos,6.19.10-1-cachyos,completed,,918,930,947,942,947,1997945,0,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/mixed-comparison-results/20260409_020622/runs/scx_cosmos/latency_stress_summary.env
scx_pandemonium,scx_pandemonium,6.19.10-1-cachyos,completed,,481,2467,25168,62,328,1999220,0,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/mixed-comparison-results/20260409_020622/runs/scx_pandemonium/latency_stress_summary.env
scx_flow,scx_flow,6.19.10-1-cachyos,completed,,59,64,149,57,59,1998630,0,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/mixed-comparison-results/20260409_020622/runs/scx_flow/latency_stress_summary.env
