scheduler,display_scheduler,runs,status,sched_ext_state,current_scheduler,kernel_release,target_hz,period_us,late_threshold_us,longrun_miss_ratio_pct,longrun_late_over_threshold_ratio_pct,longrun_p95_late_us,longrun_p99_late_us,longrun_max_late_us,notes,log_paths,raw_json_paths
baseline,baseline (6.19.10-1-cachyos),1,completed,disabled,none,6.19.10-1-cachyos,1000.00,1000,500,1.4358,2.5579,182.00,1177.00,3250.00,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/longrun-comparison-results/20260409_023839/logs/baseline_run1.log,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/longrun-comparison-results/20260409_023839/summaries/baseline_run1.env.longrun_probe.json
scx_cosmos,scx_cosmos,1,completed,enabled,cosmos_1.1.0_gc505008f_x86_64_unknown_linux_gnu,6.19.10-1-cachyos,1000.00,1000,500,1.4446,10.5762,995.00,1004.00,16308.00,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/longrun-comparison-results/20260409_023839/logs/scx_cosmos_run1.log,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/longrun-comparison-results/20260409_023839/summaries/scx_cosmos_run1.env.longrun_probe.json
scx_flow,scx_flow,1,completed,enabled,scx_flow_2.2.0_x86_64_unknown_linux_gnu,6.19.10-1-cachyos,1000.00,1000,500,0.0071,0.0075,66.00,68.00,5999.00,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/longrun-comparison-results/20260409_023839/logs/scx_flow_run1.log,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/longrun-comparison-results/20260409_023839/summaries/scx_flow_run1.env.longrun_probe.json
scx_pandemonium,scx_pandemonium,1,completed,enabled,pandemonium,6.19.10-1-cachyos,1000.00,1000,500,26.3325,27.7446,23167.00,71724.00,273818.00,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/longrun-comparison-results/20260409_023839/logs/scx_pandemonium_run1.log,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/longrun-comparison-results/20260409_023839/summaries/scx_pandemonium_run1.env.longrun_probe.json
