scheduler,runs,status,sched_ext_state,current_scheduler,latency_max_us,latency_spikes_over_100us,hackbench_mean_seconds,sysbench_events_per_sec,stressng_bogo_ops_per_sec,notes,log_paths
scx_cosmos,1,completed,enabled,cosmos_1.1.0_gc505008f_x86_64_unknown_linux_gnu,1025.00,5073.00,0.668,,6195.46,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/comparison-results/20260330_101833/logs/scx_cosmos_run1.log
scx_bpfland,1,completed,enabled,bpfland_1.1.0_gc505008f_x86_64_unknown_linux_gnu,5884.00,2571.00,0.880,,6222.88,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/comparison-results/20260330_101833/logs/scx_bpfland_run1.log
scx_flow,1,completed,enabled,scx_flow_1.0.0_x86_64_unknown_linux_gnu,2088.00,3373.00,0.634,,6217.24,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/comparison-results/20260330_101833/logs/scx_flow_run1.log
