scheduler,display_scheduler,runs,status,sched_ext_state,current_scheduler,kernel_release,latency_max_us,latency_spikes_over_100us,schbench_wakeup_p99_us,schbench_wakeup_max_us,hackbench_mean_seconds,sysbench_events_per_sec,stressng_bogo_ops_per_sec,schbench_rps,notes,log_paths
baseline,baseline (7.0.10-2-cachyos),1,completed,disabled,none,7.0.10-2-cachyos,1138.00,295.00,4120.00,22126.00,0.674,,6680.68,1410.37,,/home/galpt/Desktop/github/flow-cpusched/testing-scx_flow/comparison-results/20260603_163050/logs/baseline_run1.log
scx_cosmos,scx_cosmos,1,completed,enabled,cosmos_1.1.1_x86_64_unknown_linux_gnu,7.0.10-2-cachyos,5980.00,807.00,2092.00,16003.00,0.920,,6606.06,1220.37,,/home/galpt/Desktop/github/flow-cpusched/testing-scx_flow/comparison-results/20260603_163050/logs/scx_cosmos_run1.log
scx_bpfland,scx_bpfland,1,completed,enabled,bpfland_1.1.1_x86_64_unknown_linux_gnu,7.0.10-2-cachyos,3112.00,959.00,4060.00,26793.00,1.020,,6610.46,1125.20,,/home/galpt/Desktop/github/flow-cpusched/testing-scx_flow/comparison-results/20260603_163050/logs/scx_bpfland_run1.log
scx_flow,scx_flow,1,completed,enabled,scx_flow_3.0.2_x86_64_unknown_linux_gnu,7.0.10-2-cachyos,333.00,44.00,1582.00,2994.00,0.838,,6620.99,1148.90,,/home/galpt/Desktop/github/flow-cpusched/testing-scx_flow/comparison-results/20260603_163050/logs/scx_flow_run1.log
