tid,samples,cpu_changes,llc_changes,unique_cpus,unique_llcs,last_cpu,last_llc
154645,738,609,0,16,1,2,0
154650,735,0,0,1,1,0,0
154655,735,0,0,1,1,1,0
154656,735,0,0,1,1,2,0
154657,735,0,0,1,1,3,0
154659,735,0,0,1,1,4,0
154660,735,0,0,1,1,5,0
154662,735,0,0,1,1,6,0
154666,735,0,0,1,1,7,0
154667,735,0,0,1,1,8,0
154668,735,0,0,1,1,9,0
154669,735,0,0,1,1,10,0
154670,735,0,0,1,1,11,0
154671,735,0,0,1,1,12,0
154672,735,0,0,1,1,13,0
154673,735,0,0,1,1,14,0
154674,735,0,0,1,1,15,0
