scheduler,display_scheduler,runs,status,sched_ext_state,current_scheduler,kernel_release,groups,nr_loops,use_pipe,use_thread,fork_thread_time_sec,time_vs_baseline_pct,fork_thread_ipc,fork_thread_cache_misses,fork_thread_cache_references,notes,log_paths,perf_stdout_paths,perf_stat_paths
baseline,baseline (6.19.10-1-cachyos),1,completed,disabled,none,6.19.10-1-cachyos,24,6000,0,0,12.607,0.00,0.405,2670289743,25434804192,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/fork-thread-comparison-results/20260406_155210/logs/baseline_run1.log,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/fork-thread-comparison-results/20260406_155210/summaries/baseline_run1.env.perf_bench.out,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/fork-thread-comparison-results/20260406_155210/summaries/baseline_run1.env.perf_stat.csv
scx_cosmos,scx_cosmos,1,completed,enabled,cosmos_1.1.0_gc505008f_x86_64_unknown_linux_gnu,6.19.10-1-cachyos,24,6000,0,0,10.758,-14.67,0.428,2465106887,24650809431,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/fork-thread-comparison-results/20260406_155210/logs/scx_cosmos_run1.log,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/fork-thread-comparison-results/20260406_155210/summaries/scx_cosmos_run1.env.perf_bench.out,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/fork-thread-comparison-results/20260406_155210/summaries/scx_cosmos_run1.env.perf_stat.csv
scx_flow,scx_flow,1,completed,enabled,scx_flow_2.0.2_x86_64_unknown_linux_gnu,6.19.10-1-cachyos,24,6000,0,0,10.345,-17.94,0.430,2544595263,25084460992,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/fork-thread-comparison-results/20260406_155210/logs/scx_flow_run1.log,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/fork-thread-comparison-results/20260406_155210/summaries/scx_flow_run1.env.perf_bench.out,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/fork-thread-comparison-results/20260406_155210/summaries/scx_flow_run1.env.perf_stat.csv
scx_pandemonium,scx_pandemonium,1,completed,enabled,pandemonium,6.19.10-1-cachyos,24,6000,0,0,90.907,621.08,0.295,24746800826,181676683610,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/fork-thread-comparison-results/20260406_155210/logs/scx_pandemonium_run1.log,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/fork-thread-comparison-results/20260406_155210/summaries/scx_pandemonium_run1.env.perf_bench.out,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/fork-thread-comparison-results/20260406_155210/summaries/scx_pandemonium_run1.env.perf_stat.csv
