scheduler,runs,status,sched_ext_state,current_scheduler,latency_max_us,latency_spikes_over_100us,hackbench_mean_seconds,sysbench_events_per_sec,stressng_bogo_ops_per_sec,notes,log_paths
scx_cosmos,1,completed,enabled,cosmos_1.1.0_gc505008f_x86_64_unknown_linux_gnu,1907.00,7252.00,0.713,,5041.48,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/comparison-results/20260401_093556/logs/scx_cosmos_run1.log
scx_flow,1,completed,enabled,scx_flow_1.0.0_x86_64_unknown_linux_gnu,502.00,60.00,0.655,,6099.89,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/comparison-results/20260401_093556/logs/scx_flow_run1.log
