scheduler,display_scheduler,runs,status,sched_ext_state,current_scheduler,kernel_release,groups,nr_loops,use_pipe,use_thread,fork_thread_time_sec,time_vs_baseline_pct,fork_thread_ipc,fork_thread_cache_misses,fork_thread_cache_references,notes,log_paths,perf_stdout_paths,perf_stat_paths
baseline,baseline (6.19.10-1-cachyos),1,completed,disabled,none,6.19.10-1-cachyos,24,6000,0,0,12.890,0.00,0.405,2650092632,25417766161,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/fork-thread-comparison-results/20260407_225141/logs/baseline_run1.log,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/fork-thread-comparison-results/20260407_225141/summaries/baseline_run1.env.perf_bench.out,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/fork-thread-comparison-results/20260407_225141/summaries/baseline_run1.env.perf_stat.csv
scx_cosmos,scx_cosmos,1,completed,enabled,cosmos_1.1.0_gc505008f_x86_64_unknown_linux_gnu,6.19.10-1-cachyos,24,6000,0,0,10.723,-16.81,0.424,2480398687,24710255706,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/fork-thread-comparison-results/20260407_225141/logs/scx_cosmos_run1.log,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/fork-thread-comparison-results/20260407_225141/summaries/scx_cosmos_run1.env.perf_bench.out,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/fork-thread-comparison-results/20260407_225141/summaries/scx_cosmos_run1.env.perf_stat.csv
scx_flow,scx_flow,1,completed,enabled,scx_flow_2.1.0_rc1_x86_64_unknown_linux_gnu,6.19.10-1-cachyos,24,6000,0,0,9.851,-23.58,0.435,2445433548,24762489012,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/fork-thread-comparison-results/20260407_225141/logs/scx_flow_run1.log,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/fork-thread-comparison-results/20260407_225141/summaries/scx_flow_run1.env.perf_bench.out,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/fork-thread-comparison-results/20260407_225141/summaries/scx_flow_run1.env.perf_stat.csv
scx_pandemonium,scx_pandemonium,1,completed,enabled,pandemonium,6.19.10-1-cachyos,24,6000,0,0,95.273,639.12,0.293,27392889787,196672222870,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/fork-thread-comparison-results/20260407_225141/logs/scx_pandemonium_run1.log,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/fork-thread-comparison-results/20260407_225141/summaries/scx_pandemonium_run1.env.perf_bench.out,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/fork-thread-comparison-results/20260407_225141/summaries/scx_pandemonium_run1.env.perf_stat.csv
