scheduler,display_scheduler,runs,status,sched_ext_state,current_scheduler,kernel_release,latency_max_us,latency_spikes_over_100us,hackbench_mean_seconds,sysbench_events_per_sec,stressng_bogo_ops_per_sec,notes,log_paths
baseline,baseline (7.0.10-2-cachyos),1,completed,disabled,none,7.0.10-2-cachyos,1001.00,524.00,0.689,,6709.08,,/home/galpt/Desktop/github/flow-cpusched/testing-scx_flow/comparison-results/20260530_154831/logs/baseline_run1.log
scx_cosmos,scx_cosmos,1,completed,enabled,cosmos_1.1.1_x86_64_unknown_linux_gnu,7.0.10-2-cachyos,4833.00,1324.00,0.922,,6583.78,,/home/galpt/Desktop/github/flow-cpusched/testing-scx_flow/comparison-results/20260530_154831/logs/scx_cosmos_run1.log
scx_bpfland,scx_bpfland,1,completed,enabled,bpfland_1.1.1_x86_64_unknown_linux_gnu,7.0.10-2-cachyos,3465.00,707.00,0.987,,6618.47,,/home/galpt/Desktop/github/flow-cpusched/testing-scx_flow/comparison-results/20260530_154831/logs/scx_bpfland_run1.log
scx_flow,scx_flow,1,completed,enabled,scx_flow_2.3.0_x86_64_unknown_linux_gnu,7.0.10-2-cachyos,79.00,0.00,0.631,,6627.90,,/home/galpt/Desktop/github/flow-cpusched/testing-scx_flow/comparison-results/20260530_154831/logs/scx_flow_run1.log
