scheduler,display_scheduler,runs,status,sched_ext_state,current_scheduler,kernel_release,latency_max_us,latency_spikes_over_100us,hackbench_mean_seconds,sysbench_events_per_sec,stressng_bogo_ops_per_sec,notes,log_paths
baseline,baseline (6.19.10-1-cachyos),1,completed,disabled,none,6.19.10-1-cachyos,1125.00,2398.00,0.817,,6424.46,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/comparison-results/20260406_225638/logs/baseline_run1.log
scx_cosmos,scx_cosmos,1,completed,enabled,cosmos_1.1.0_gc505008f_x86_64_unknown_linux_gnu,6.19.10-1-cachyos,2199.00,6193.00,0.663,,6426.64,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/comparison-results/20260406_225638/logs/scx_cosmos_run1.log
scx_cake,scx_cake,1,completed,enabled,cake,6.19.10-1-cachyos,9131.00,12889.00,6.998,,6517.95,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/comparison-results/20260406_225638/logs/scx_cake_run1.log
scx_flow,scx_flow,1,completed,enabled,scx_flow_2.0.3_x86_64_unknown_linux_gnu,6.19.10-1-cachyos,460.00,12.00,0.651,,6343.53,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/comparison-results/20260406_225638/logs/scx_flow_run1.log
scx_pandemonium,scx_pandemonium,1,completed,enabled,pandemonium,6.19.10-1-cachyos,25957.00,3016.00,3.965,,6437.74,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/comparison-results/20260406_225638/logs/scx_pandemonium_run1.log
