run,script_exit,overall_status,overall_note,post_state,mixed_max_us,mixed_spikes_100us,rt_max_us,rt_spikes_100us,disable_events,stall_events,reenable_events,failed_to_run_events,final_mode,summary_path
run01,1,failed,runnable-task-stall-detected,disabled,129,2,7754148,24,1,1,1,1,latency,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/latency-stress-repeat-results/20260401_235548/run01/latency_stress_summary.env
run02,1,failed,runnable-task-stall-detected,disabled,163,3,7595904,51,1,1,1,1,latency,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/latency-stress-repeat-results/20260401_235548/run02/latency_stress_summary.env
run03,1,failed,runnable-task-stall-detected,disabled,82,0,7660097,17,1,1,1,1,latency,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/latency-stress-repeat-results/20260401_235548/run03/latency_stress_summary.env
run04,1,failed,runnable-task-stall-detected,disabled,108,2,7680809,46,1,1,0,1,latency,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/latency-stress-repeat-results/20260401_235548/run04/latency_stress_summary.env
run05,1,failed,runnable-task-stall-detected,disabled,83,0,7633622,35,1,1,1,1,latency,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/latency-stress-repeat-results/20260401_235548/run05/latency_stress_summary.env
