scheduler,display_scheduler,runs,status,sched_ext_state,current_scheduler,kernel_release,target_hz,period_us,late_threshold_us,longrun_miss_ratio_pct,longrun_late_over_threshold_ratio_pct,longrun_p95_late_us,longrun_p99_late_us,longrun_max_late_us,notes,log_paths,raw_json_paths
scx_cosmos,scx_cosmos,1,completed,enabled,cosmos_1.1.0_gc505008f_x86_64_unknown_linux_gnu,6.19.10-1-cachyos,1000.00,1000,500,1.7196,18.6771,994.00,1002.00,43101.00,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/longrun-comparison-results/20260407_063136/logs/scx_cosmos_run1.log,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/longrun-comparison-results/20260407_063136/summaries/scx_cosmos_run1.env.longrun_probe.json
scx_flow,scx_flow,1,completed,enabled,scx_flow_2.0.3_x86_64_unknown_linux_gnu,6.19.10-1-cachyos,1000.00,1000,500,1.4363,4.6363,304.00,1828.00,14821.00,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/longrun-comparison-results/20260407_063136/logs/scx_flow_run1.log,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/longrun-comparison-results/20260407_063136/summaries/scx_flow_run1.env.longrun_probe.json
scx_pandemonium,scx_pandemonium,1,completed,enabled,pandemonium,6.19.10-1-cachyos,1000.00,1000,500,22.6108,23.8600,20316.00,30582.00,192810.00,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/longrun-comparison-results/20260407_063136/logs/scx_pandemonium_run1.log,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/longrun-comparison-results/20260407_063136/summaries/scx_pandemonium_run1.env.longrun_probe.json
