scheduler,runs,status,sched_ext_state,current_scheduler,latency_max_us,latency_spikes_over_100us,hackbench_mean_seconds,sysbench_events_per_sec,stressng_bogo_ops_per_sec,notes,log_paths
scx_cosmos,1,completed,enabled,cosmos_1.1.0_gc505008f_x86_64_unknown_linux_gnu,1947.00,76985.00,0.786,,5154.82,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/comparison-results/20260401_123529/logs/scx_cosmos_run1.log
scx_flow,1,completed,enabled,scx_flow_1.0.0_x86_64_unknown_linux_gnu,200.00,7.00,0.694,,5970.79,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/comparison-results/20260401_123529/logs/scx_flow_run1.log
