scheduler,display_scheduler,runs,status,sched_ext_state,current_scheduler,kernel_release,latency_max_us,latency_spikes_over_100us,hackbench_mean_seconds,sysbench_events_per_sec,stressng_bogo_ops_per_sec,notes,log_paths
baseline,baseline (6.19.10-1-cachyos),1,completed,disabled,none,6.19.10-1-cachyos,1948.00,2129.00,0.838,,6355.62,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/comparison-results/20260409_014229/logs/baseline_run1.log
scx_cosmos,scx_cosmos,1,completed,enabled,cosmos_1.1.0_gc505008f_x86_64_unknown_linux_gnu,6.19.10-1-cachyos,2015.00,4819.00,0.704,,5313.16,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/comparison-results/20260409_014229/logs/scx_cosmos_run1.log
scx_cake,scx_cake,1,completed,enabled,cake,6.19.10-1-cachyos,14162.00,20921.00,6.542,,6403.73,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/comparison-results/20260409_014229/logs/scx_cake_run1.log
scx_flow,scx_flow,1,completed,enabled,scx_flow_2.2.0_x86_64_unknown_linux_gnu,6.19.10-1-cachyos,173.00,12.00,0.713,,6316.68,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/comparison-results/20260409_014229/logs/scx_flow_run1.log
scx_pandemonium,scx_pandemonium,1,completed,enabled,pandemonium,6.19.10-1-cachyos,25961.00,1998.00,1.643,,6378.15,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/comparison-results/20260409_014229/logs/scx_pandemonium_run1.log
