scheduler,display_scheduler,runs,status,sched_ext_state,current_scheduler,kernel_release,period_us,window_ms,interval_ms,late_threshold_us,burst_latency_p95_us,burst_latency_p99_us,burst_latency_max_us,burst_miss_ratio_pct,burst_miss_ratio_resolution_pct,burst_late_over_threshold_ratio_pct,notes,log_paths,raw_json_paths
baseline,baseline (6.19.10-1-cachyos),2,completed,disabled,none,6.19.10-1-cachyos,1000,200,1000,1000,90.00,113.50,1712.50,0.0175,0.0050,0.0175,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/burst-comparison-results/20260407_230325/logs/baseline_run1.log; /home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/burst-comparison-results/20260407_230325/logs/baseline_run2.log,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/burst-comparison-results/20260407_230325/summaries/baseline_run1.env.burst_probe.json; /home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/burst-comparison-results/20260407_230325/summaries/baseline_run2.env.burst_probe.json
scx_flow,scx_flow,2,completed,enabled,scx_flow_2.1.0_rc1_x86_64_unknown_linux_gnu,6.19.10-1-cachyos,1000,200,1000,1000,62.50,76.00,4574.50,0.2850,0.0050,0.2850,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/burst-comparison-results/20260407_230325/logs/scx_flow_run1.log; /home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/burst-comparison-results/20260407_230325/logs/scx_flow_run2.log,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/burst-comparison-results/20260407_230325/summaries/scx_flow_run1.env.burst_probe.json; /home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/burst-comparison-results/20260407_230325/summaries/scx_flow_run2.env.burst_probe.json
