scheduler,runs,status,sched_ext_state,current_scheduler,latency_max_us,latency_spikes_over_100us,hackbench_mean_seconds,sysbench_events_per_sec,stressng_bogo_ops_per_sec,notes,log_paths
scx_cosmos,1,completed,enabled,cosmos_1.1.0_gc505008f_x86_64_unknown_linux_gnu,2049.00,7376.00,0.783,,5301.02,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/comparison-results/20260401_221802/logs/scx_cosmos_run1.log
scx_flow,1,completed,enabled,scx_flow_1.0.0_x86_64_unknown_linux_gnu,140.00,4.00,0.685,,5945.37,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/comparison-results/20260401_221802/logs/scx_flow_run1.log
