scheduler,display_scheduler,runs,status,sched_ext_state,current_scheduler,kernel_release,workers,command,late_threshold_us,app_launch_over_threshold_ratio_pct,app_launch_p95_us,app_launch_p99_us,app_launch_max_us,notes,log_paths,raw_json_paths
baseline,baseline (6.19.10-1-cachyos),1,completed,disabled,none,6.19.10-1-cachyos,4,/usr/bin/true,5000,0.0000,564.00,663.00,3184.00,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/app-launch-comparison-results/20260409_030314/logs/baseline_run1.log,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/app-launch-comparison-results/20260409_030314/summaries/baseline_run1.env.app_launch_probe.json
scx_cosmos,scx_cosmos,1,completed,enabled,cosmos_1.1.0_gc505008f_x86_64_unknown_linux_gnu,6.19.10-1-cachyos,4,/usr/bin/true,5000,0.0260,2992.00,3015.00,7004.00,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/app-launch-comparison-results/20260409_030314/logs/scx_cosmos_run1.log,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/app-launch-comparison-results/20260409_030314/summaries/scx_cosmos_run1.env.app_launch_probe.json
scx_flow,scx_flow,1,completed,enabled,scx_flow_2.2.0_x86_64_unknown_linux_gnu,6.19.10-1-cachyos,4,/usr/bin/true,5000,0.1271,619.00,1767.00,19216.00,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/app-launch-comparison-results/20260409_030314/logs/scx_flow_run1.log,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/app-launch-comparison-results/20260409_030314/summaries/scx_flow_run1.env.app_launch_probe.json
scx_pandemonium,scx_pandemonium,1,completed,enabled,pandemonium,6.19.10-1-cachyos,4,/usr/bin/true,5000,0.0333,605.00,967.00,15495.00,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/app-launch-comparison-results/20260409_030314/logs/scx_pandemonium_run1.log,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/app-launch-comparison-results/20260409_030314/summaries/scx_pandemonium_run1.env.app_launch_probe.json
