scheduler,display_scheduler,runs,status,sched_ext_state,current_scheduler,kernel_release,target_hz,period_us,late_threshold_us,longrun_miss_ratio_pct,longrun_late_over_threshold_ratio_pct,longrun_p95_late_us,longrun_p99_late_us,longrun_max_late_us,notes,log_paths,raw_json_paths
baseline,baseline (6.19.10-1-cachyos),1,completed,disabled,none,6.19.10-1-cachyos,1000.00,1000,500,1.8188,3.2788,221.00,1194.00,7454.00,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/longrun-comparison-results/20260407_224639/logs/baseline_run1.log,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/longrun-comparison-results/20260407_224639/summaries/baseline_run1.env.longrun_probe.json
scx_cosmos,scx_cosmos,1,completed,enabled,cosmos_1.1.0_gc505008f_x86_64_unknown_linux_gnu,6.19.10-1-cachyos,1000.00,1000,500,11.5075,28.2333,1005.00,1019.00,17340.00,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/longrun-comparison-results/20260407_224639/logs/scx_cosmos_run1.log,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/longrun-comparison-results/20260407_224639/summaries/scx_cosmos_run1.env.longrun_probe.json
scx_flow,scx_flow,1,completed,enabled,scx_flow_2.1.0_rc1_x86_64_unknown_linux_gnu,6.19.10-1-cachyos,1000.00,1000,500,1.7812,6.1558,964.00,1990.00,13419.00,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/longrun-comparison-results/20260407_224639/logs/scx_flow_run1.log,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/longrun-comparison-results/20260407_224639/summaries/scx_flow_run1.env.longrun_probe.json
scx_pandemonium,scx_pandemonium,1,completed,enabled,pandemonium,6.19.10-1-cachyos,1000.00,1000,500,24.3567,25.8012,19861.00,30058.00,123825.00,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/longrun-comparison-results/20260407_224639/logs/scx_pandemonium_run1.log,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/longrun-comparison-results/20260407_224639/summaries/scx_pandemonium_run1.env.longrun_probe.json
