scheduler,display_scheduler,runs,status,sched_ext_state,current_scheduler,kernel_release,latency_max_us,latency_spikes_over_100us,hackbench_mean_seconds,sysbench_events_per_sec,stressng_bogo_ops_per_sec,notes,log_paths
baseline,baseline (7.0.3-1-cachyos),1,completed,disabled,none,7.0.3-1-cachyos,1113.00,579.00,0.671,,6628.57,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/comparison-results/20260508_115506/logs/baseline_run1.log
scx_cosmos,scx_cosmos,1,completed,enabled,cosmos_1.1.0_gc505008f_x86_64_unknown_linux_gnu,7.0.3-1-cachyos,880.00,1117.00,0.649,,6478.71,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/comparison-results/20260508_115506/logs/scx_cosmos_run1.log
scx_bpfland,scx_bpfland,1,completed,enabled,bpfland_1.1.0_gc505008f_x86_64_unknown_linux_gnu,7.0.3-1-cachyos,3182.00,846.00,0.951,,6564.79,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/comparison-results/20260508_115506/logs/scx_bpfland_run1.log
scx_flow,scx_flow,1,completed,enabled,scx_flow_2.2.3_x86_64_unknown_linux_gnu,7.0.3-1-cachyos,476.00,28.00,0.666,,6620.78,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/comparison-results/20260508_115506/logs/scx_flow_run1.log
