tid,samples,cpu_changes,llc_changes,unique_cpus,unique_llcs,last_cpu,last_llc
58471,740,632,0,16,1,3,0
58478,737,0,0,1,1,0,0
58481,737,0,0,1,1,1,0
58482,737,0,0,1,1,2,0
58484,737,0,0,1,1,3,0
58485,737,0,0,1,1,4,0
58490,737,0,0,1,1,5,0
58491,737,0,0,1,1,6,0
58492,737,0,0,1,1,7,0
58493,737,0,0,1,1,8,0
58494,737,0,0,1,1,9,0
58495,737,0,0,1,1,10,0
58496,737,0,0,1,1,11,0
58497,737,0,0,1,1,12,0
58498,737,0,0,1,1,13,0
58499,737,0,0,1,1,14,0
58500,737,0,0,1,1,15,0
