scheduler,display_scheduler,runs,status,sched_ext_state,current_scheduler,kernel_release,fish_count,aquarium_raf_avg_fps,aquarium_raf_1p_low_fps,aquarium_p95_frame_ms,aquarium_jank_over_33ms,stressng_bogo_ops_per_sec,notes,log_paths
scx_cosmos,scx_cosmos,2,completed,enabled,cosmos_1.1.0_gc505008f_x86_64_unknown_linux_gnu,6.19.10-1-cachyos,2000,105.70,43.20,15.17,30.50,153089.57,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/aquarium-comparison-results/20260407_225638/logs/scx_cosmos_run1.log; /home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/aquarium-comparison-results/20260407_225638/logs/scx_cosmos_run2.log
scx_flow,scx_flow,2,completed,enabled,scx_flow_2.1.0_rc1_x86_64_unknown_linux_gnu,6.19.10-1-cachyos,2000,71.86,36.62,34.30,358.50,137081.73,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/aquarium-comparison-results/20260407_225638/logs/scx_flow_run1.log; /home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/aquarium-comparison-results/20260407_225638/logs/scx_flow_run2.log
