scheduler,display_scheduler,runs,status,sched_ext_state,current_scheduler,kernel_release,workers,message_bytes,late_threshold_us,ipc_over_threshold_ratio_pct,ipc_p95_rtt_us,ipc_p99_rtt_us,ipc_max_rtt_us,notes,log_paths,raw_json_paths
baseline,baseline (6.19.10-1-cachyos),1,completed,disabled,none,6.19.10-1-cachyos,2,64,500,0.0116,10.00,15.00,4311.00,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/ipc-comparison-results/20260409_023017/logs/baseline_run1.log,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/ipc-comparison-results/20260409_023017/summaries/baseline_run1.env.ipc_probe.json
scx_cosmos,scx_cosmos,1,completed,enabled,cosmos_1.1.0_gc505008f_x86_64_unknown_linux_gnu,6.19.10-1-cachyos,2,64,500,0.9159,10.00,21.00,3079.00,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/ipc-comparison-results/20260409_023017/logs/scx_cosmos_run1.log,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/ipc-comparison-results/20260409_023017/summaries/scx_cosmos_run1.env.ipc_probe.json
scx_flow,scx_flow,1,completed,enabled,scx_flow_2.2.0_x86_64_unknown_linux_gnu,6.19.10-1-cachyos,2,64,500,0.5345,11.00,76.00,5912.00,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/ipc-comparison-results/20260409_023017/logs/scx_flow_run1.log,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/ipc-comparison-results/20260409_023017/summaries/scx_flow_run1.env.ipc_probe.json
scx_pandemonium,scx_pandemonium,1,completed,enabled,pandemonium,6.19.10-1-cachyos,2,64,500,0.0199,19.00,20.00,62774.00,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/ipc-comparison-results/20260409_023017/logs/scx_pandemonium_run1.log,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/ipc-comparison-results/20260409_023017/summaries/scx_pandemonium_run1.env.ipc_probe.json
