scheduler,display_scheduler,runs,status,sched_ext_state,current_scheduler,kernel_release,target_fps,period_us,late_threshold_us,deadline_miss_ratio_pct,deadline_late_over_threshold_ratio_pct,deadline_p95_late_us,deadline_p99_late_us,deadline_p99_jitter_us,deadline_max_late_us,notes,log_paths,raw_json_paths
baseline,baseline (6.19.10-1-cachyos),2,completed,disabled,none,6.19.10-1-cachyos,60.00,16666,1000,0.0000,2.1389,798.00,1207.50,1502.50,2967.00,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/deadline-comparison-results/20260409_021205/logs/baseline_run1.log; /home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/deadline-comparison-results/20260409_021205/logs/baseline_run2.log,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/deadline-comparison-results/20260409_021205/summaries/baseline_run1.env.deadline_probe.json; /home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/deadline-comparison-results/20260409_021205/summaries/baseline_run2.env.deadline_probe.json
scx_cosmos,scx_cosmos,2,completed,enabled,cosmos_1.1.0_gc505008f_x86_64_unknown_linux_gnu,6.19.10-1-cachyos,60.00,16666,1000,0.0000,0.8541,857.50,994.50,875.50,2390.50,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/deadline-comparison-results/20260409_021205/logs/scx_cosmos_run1.log; /home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/deadline-comparison-results/20260409_021205/logs/scx_cosmos_run2.log,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/deadline-comparison-results/20260409_021205/summaries/scx_cosmos_run1.env.deadline_probe.json; /home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/deadline-comparison-results/20260409_021205/summaries/scx_cosmos_run2.env.deadline_probe.json
scx_flow,scx_flow,2,completed,enabled,scx_flow_2.2.0_x86_64_unknown_linux_gnu,6.19.10-1-cachyos,60.00,16666,1000,0.0000,0.0209,78.00,82.50,43.50,1334.00,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/deadline-comparison-results/20260409_021205/logs/scx_flow_run1.log; /home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/deadline-comparison-results/20260409_021205/logs/scx_flow_run2.log,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/deadline-comparison-results/20260409_021205/summaries/scx_flow_run1.env.deadline_probe.json; /home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/deadline-comparison-results/20260409_021205/summaries/scx_flow_run2.env.deadline_probe.json
scx_pandemonium,scx_pandemonium,2,completed,enabled,pandemonium,6.19.10-1-cachyos,60.00,16666,1000,8.4861,26.6181,20973.50,31849.00,24723.50,144896.00,,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/deadline-comparison-results/20260409_021205/logs/scx_pandemonium_run1.log; /home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/deadline-comparison-results/20260409_021205/logs/scx_pandemonium_run2.log,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/deadline-comparison-results/20260409_021205/summaries/scx_pandemonium_run1.env.deadline_probe.json; /home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/deadline-comparison-results/20260409_021205/summaries/scx_pandemonium_run2.env.deadline_probe.json
