run,script_exit,overall_status,overall_note,post_state,mixed_max_us,mixed_spikes_100us,rt_max_us,rt_spikes_100us,disable_events,stall_events,reenable_events,failed_to_run_events,final_mode,summary_path
run01,1,failed,runnable-task-stall-detected,disabled,213,26,7530540,19,1,1,0,1,latency,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/latency-stress-repeat-results/20260402_005142/run01/latency_stress_summary.env
run02,1,failed,runnable-task-stall-detected,disabled,136,7,7664545,23,1,1,1,1,latency,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/latency-stress-repeat-results/20260402_005142/run02/latency_stress_summary.env
run03,1,failed,runnable-task-stall-detected,disabled,177,25,7727735,49,1,1,1,1,latency,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/latency-stress-repeat-results/20260402_005142/run03/latency_stress_summary.env
run04,1,failed,runnable-task-stall-detected,disabled,199,26,7582669,24,1,1,1,1,latency,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/latency-stress-repeat-results/20260402_005142/run04/latency_stress_summary.env
run05,1,failed,runnable-task-stall-detected,disabled,161,17,7655443,29,1,1,1,1,latency,/home/galpt/Desktop/Disk_D/sched-research/testing-scx_flow/latency-stress-repeat-results/20260402_005142/run05/latency_stress_summary.env
